"9d87b2b","SereneYe","Fri, 10 May 2024 22:57:20 +1000","Final Implementation of the website, bye bye!","",		 6 files changed, 25 insertions(+), 16 deletions(-)
"9b3ae2f","SereneYe","Wed, 8 May 2024 09:10:36 +1000","Fix the bug of nan time format in helper.js","",		 1 file changed, 10 insertions(+), 4 deletions(-)
"af98b4d","SereneYe","Sun, 5 May 2024 10:30:17 +1000","Modified the gird directions in event map and event page when using small phones","",		 2 files changed, 17 insertions(+), 15 deletions(-)
"5eb8ddf","SereneYe","Sun, 28 Apr 2024 23:01:25 +1000","Add LocalStorage to the map function, still cannot solve the time gap between fetching from uqcloud and loading at leaflet. but newly added event works well now","",		 1 file changed, 20 insertions(+)
"96867e0","SereneYe","Sun, 28 Apr 2024 22:49:09 +1000","Implement the date picker API","",		 285 files changed, 33601 insertions(+), 33 deletions(-)
"72d0857","SereneYe","Tue, 16 Apr 2024 23:09:28 +1000","Finishing implementing all responsive mediaqueries in map, regiatration page","",		 10 files changed, 297 insertions(+), 1 deletion(-)
"90a10c9","SereneYe","Tue, 16 Apr 2024 22:26:38 +1000","Add media queries feature to event, blog and home page site, waiting fix the bug of the overflowing nav button","",		 14 files changed, 341 insertions(+), 36 deletions(-)
"0cced59","SereneYe","Mon, 15 Apr 2024 17:15:55 +1000","Set the website code as the global variable","",		 2 files changed, 10 deletions(-)
"b70214c","SereneYe","Mon, 15 Apr 2024 17:13:20 +1000","Implement upload event to uq cloud function in map page, delete the temporary setlocal storage in map","",		 4 files changed, 33 insertions(+), 16 deletions(-)
"20d32bb","SereneYe","Mon, 15 Apr 2024 16:38:13 +1000","fix the bug of when clicking an event in the list, the map should move","",		 1 file changed, 4 insertions(+), 3 deletions(-)
"b49912c","SereneYe","Mon, 15 Apr 2024 16:37:35 +1000","Fix the post event issue with wrong type error","",		 6 files changed, 14 insertions(+), 22 deletions(-)
"a907b59","SereneYe","Sun, 14 Apr 2024 09:43:26 +1000","Implement the filter event function of the event page, waiting to add more data to test","",		 5 files changed, 66 insertions(+), 2 deletions(-)
"cf39b13","SereneYe","Sun, 14 Apr 2024 09:15:42 +1000","Fix the bug of handling photo in the map page","",		 2 files changed, 2 insertions(+)
"56e0858","SereneYe","Sun, 14 Apr 2024 09:13:49 +1000","implement the go to event on the map page. Implement the uploading photo function on the event map","",		 4 files changed, 40 insertions(+), 10 deletions(-)
"ac2c666","SereneYe","Sat, 13 Apr 2024 14:07:24 +1000","Finish all images and contents on the website. Waiting to modify the postMethod and filter method on the event page","",		 10 files changed, 58 insertions(+), 35 deletions(-)
"4f4e878","SereneYe","Sat, 13 Apr 2024 09:54:26 +1000","Implement the blog user and comments, fix the bug of undefined blog preloading before the blog image actually loaded","",		 4 files changed, 81 insertions(+), 52 deletions(-)
"b61cbb2","SereneYe","Sat, 13 Apr 2024 09:21:58 +1000","Add pictures and descriptions of the homepage and the blog content,","",		 36 files changed, 212 insertions(+), 117 deletions(-)
"8a90ce7","SereneYe","Fri, 5 Apr 2024 21:36:44 +1000","Fix the division and hovering  bugs of the Blog card","",		 3 files changed, 34 insertions(+), 46 deletions(-)
"3c2cfab","SereneYe","Fri, 5 Apr 2024 20:47:31 +1000","Implement the basic masonry  function to the blog section","",		 7 files changed, 506 insertions(+), 169 deletions(-)
"b85c2eb","SereneYe","Thu, 4 Apr 2024 14:27:16 +1000","Fixed a small bug on event controller","",		 3 files changed, 30 insertions(+), 31 deletions(-)
"907c76c","SereneYe","Thu, 4 Apr 2024 14:21:58 +1000","basically implemeented all the functions except testing post function","",		 21 files changed, 467 insertions(+), 237 deletions(-)
"4035f8c","SereneYe","Wed, 3 Apr 2024 22:34:24 +1000","Change the name of map page","",		 4 files changed, 1 insertion(+), 1 deletion(-)
"e85d348","SereneYe","Wed, 3 Apr 2024 22:32:14 +1000","Implement the event sorting function of the event page. Add the icon. Implement the homepage scrolling behaviors","",		 9 files changed, 157 insertions(+), 22 deletions(-)
"3f5ede9","SereneYe","Wed, 3 Apr 2024 20:29:54 +1000","Refactor the css components on the event page, fixed the implementation of the focus mode","",		 13 files changed, 447 insertions(+), 1616 deletions(-)
"b55feb6","SereneYe","Wed, 3 Apr 2024 17:12:20 +1000","Fix the leaflet bug of rendering the poup tag","",		 4 files changed, 37 insertions(+), 19 deletions(-)
"501f5d6","SereneYe","Wed, 3 Apr 2024 16:20:19 +1000","Implement the url hash code to render event by clicking the search result","",		 3 files changed, 16 insertions(+), 8 deletions(-)
"d15ad47","SereneYe","Wed, 3 Apr 2024 15:55:54 +1000","split renderEvent page into MVC structure","",		 11 files changed, 53 insertions(+), 326 deletions(-)
"f0ae54c","SereneYe","Wed, 3 Apr 2024 14:56:23 +1000","Implement the function of rendering the event search result from the api","",		 6 files changed, 138 insertions(+), 30 deletions(-)
"4a4b0bc","SereneYe","Wed, 3 Apr 2024 10:49:13 +1000","Add helper function to format the date and location from Api, implement map webpage to render the data grab from api","",		 4 files changed, 120 insertions(+), 31 deletions(-)
"7cf952e","SereneYe","Tue, 2 Apr 2024 21:59:34 +1000","Load data from API and implement some basic events rendering with the data","",		 15 files changed, 511 insertions(+), 119 deletions(-)
